Appliance	Issue	ModelNumber	SerialNumber	Name	Email	Address	Pincode	Date	TimeSlots	TrackID
fridge	broken	pyd22kblts	rfaz3347	akash	abc@gmail.com	2025 m street , northwest , washington , dc	20036	sunday	6 - 7 pm	TR96147
fridge	broken	pyd22kblts	rfaz3347	dev	abc@gmail.com	2025 m street , northwest , washington , dc	20036	tuseday	11-12	TR96545
fridge	broken	pyd22kblts	rfaz3347	dev	abc@gmail.com	2025 m street , northwest , washington , dc	20036	tuesday	11 - 12 am	TR74418
ac	not working	pyd22kblts	rfaz3347	Ralph White	abc@gmail.com	2025 m street , northwest , washington , dc	20036	tuesday	11 - 12 am	TR91045
fridge	broken	pyd22kblts	rfaz3347	ralph white	akash.chandra8d@gmail.com	2025 m street , northwest , washington , dc	20036	tuesday	11 - 12 pm	TR11389
fridge	broken	pyd22kblts	rfaz3347	dev	abc@gmail.com	2025 m street , northwest , washington , dc	20036	tuesday	11 - 12 am	TR22733
fridge	broken	pyd22kblts	rfaz3347	akash chandra	abc@gmail.com	2025 m street , northwest , washington , dc	20036	tuesday	11 - 12 pm	TR59636
refrigerator	broken	pyd22kblts	rfaz3351	dev	akash.chandra8d@gmail.com	2025 m street , northwest , washington , dc	20036	tuesday	10 - 12 am	TR16353
refrigerator	not working	cfe28ushss	rfaz3345	dev	akash.chandra8d@gmail.com	2025 m street , northwest , washington , dc	20036	tuesday	4 - 5 pm	TR71946
refrigerator	broken	pyd22kblts	rfaz3347	dev	akash.chandra8d@gmail.com	2025 m street , northwest , washington , dc	20036	sunday	8 - 10 am	TR70320
